노선아이디,노선명
165000001 ,1
165000013 ,10
165000251 ,10(강화)
165000145 ,1000
165000056 ,103
165000216 ,103-1
165000477 ,10A(강화)
165000014 ,11
165000252 ,11(강화)
165000146 ,1100
165000147 ,1101
165000057 ,111
165000180 ,111-2
166000016 ,1111
166000004 ,111B
165000058 ,112
165000412 ,117
165000478 ,11A(강화)
165000015 ,12
165000253 ,12(강화)
165000148 ,1200
165000479 ,12A(강화)
165000016 ,13
165000254 ,13(강화)
165000149 ,1300
165000150 ,1301
165000421 ,1302
165000017 ,14
165000255 ,14(강화)
165000018 ,14-1
165000151 ,1400
165000019 ,15
165000256 ,15(강화)
165000152 ,1500
165000020 ,16
169000014 ,16(강화)
165000201 ,16-1
165000154 ,1601
169000028 ,17
165000258 ,17(강화)
165000473 ,18(강화)
169000009 ,19(강화)
165000002 ,2
165000238 ,2-1
165000022 ,20
165000259 ,20(강화)
165000059 ,202
168000006 ,202A
165000060 ,203
168000056 ,203A
165000445 ,204
168000003 ,205
168000041 ,206
169000030 ,20A(강화)
165000023 ,21
165000260 ,21(강화)
169000031 ,21A(강화)
165000025 ,22
165000261 ,22(강화)
168000055 ,2201
168000054 ,221
165000063 ,223
165000408 ,223A
165000026 ,23
165000262 ,23(강화)
169000010 ,23A(강화)
165000027 ,24
165000263 ,24(강화)
165000028 ,24-1
165000264 ,25(강화)
166000014 ,26
165000265 ,26(강화)
165000029 ,27
165000266 ,27(강화)
165000030 ,28
169000015 ,28(강화)
165000196 ,28-1
168000045 ,29
169000016 ,29(강화)
165000249 ,3(강화)
165000310 ,3-2
165000031 ,30
165000267 ,30(강화)
169000037 ,3000
165000067 ,302
165000452 ,302B
165000219 ,303
165000350 ,303-1
165000389 ,304
165000068 ,306
165000483 ,306A
165000343 ,307
165000070 ,308
169200008 ,30A(강화)
165000508 ,310
165000487 ,31A(강화)
165000488 ,31B(강화)
165000269 ,32(강화)
165000392 ,320
165000032 ,33
165000270 ,33(강화)
165000509 ,330
165000033 ,34
165000271 ,34(강화)
165000034 ,35
165000504 ,35A(강화)
165000505 ,35B(강화)
165000035 ,36
165000036 ,37
165000274 ,37(강화)
165000037 ,38
169000011 ,39(강화)
169000012 ,39A(강화)
165000004 ,4
165000250 ,4(강화)
165000276 ,40(강화)
165000277 ,41(강화)
165000039 ,42
165000278 ,42(강화)
165000441 ,43
165000306 ,43(강화)
165000439 ,43-1
165000507 ,44
165000280 ,44(강화)
161000027 ,4401
161000028 ,4402
165000496 ,44A(강화)
165000041 ,45
165000281 ,45(강화)
165000042 ,46
169000017 ,46(강화)
168000033 ,47
169000018 ,47(강화)
165000284 ,48(강화)
165000474 ,49(강화)
165000379 ,5
165000006 ,5-1
165000285 ,50(강화)
165000071 ,506
165000286 ,51(강화)
165000072 ,510
165000073 ,511
165000074 ,512
165000076 ,514-1
165000077 ,515
165000243 ,515-1
165000078 ,516
165000079 ,517
165000080 ,518
165000081 ,519
165000287 ,52(강화)
165000082 ,520
165000083 ,521
165000084 ,522
165000085 ,523
165000382 ,526
165000288 ,53(강화)
165000330 ,530
165000513 ,532
165000088 ,533
165000089 ,534
165000090 ,535
165000092 ,536
165000093 ,537
165000094 ,538
165000095 ,539
165000481 ,53A(강화)
165000289 ,54(강화)
165000096 ,540
164000005 ,55
165000290 ,55(강화)
165000097 ,551
165000101 ,555
165000102 ,556
165000103 ,557
165000501 ,557A
165000104 ,558
165000106 ,560
165000107 ,561
166000011 ,562
165000110 ,564
165000111 ,564-1
165000112 ,565
165000113 ,566
165000114 ,567
163000002 ,568
165000116 ,569
165000292 ,57(강화)
165000117 ,570
165000118 ,571
165000119 ,574
165000120 ,579
161000007 ,58
165000466 ,58(강화)
165000121 ,581
165000122 ,582
165000123 ,583
165000124 ,584
166000001 ,584-1
165000125 ,585
165000126 ,586
165000127 ,587
165000128 ,588
165000467 ,59(강화)
165000129 ,590
165000130 ,591
165000132 ,592
165000133 ,593
168000031 ,594
165000324 ,595
168000048 ,596
165000007 ,6
165000008 ,6-1
165000391 ,60-5
169000019 ,61(강화)
165000043 ,62
169000020 ,62(강화)
165000520 ,63
165000045 ,65
165000046 ,65-1
165000240 ,66
165000048 ,67-1
165000497 ,6770
161000002 ,6777
161000022 ,6777-1
168000034 ,7
165000230 ,70
165000498 ,701
165000499 ,702
169000029 ,71
165000328 ,72
161000014 ,75
165000050 ,76
161000012 ,77
165000377 ,7700
165000052 ,78
165000053 ,79
168000010 ,790
168000028 ,790A
168000029 ,790B
165000012 ,8
165000054 ,80
165000313 ,800
169000027 ,801
165000442 ,81
161000005 ,82
168000047 ,86
165000055 ,87
165000364 ,8A
165000334 ,9
165000491 ,9(강화)
169100005 ,901(강화)
169000036 ,901-1(강화)
169000034 ,901-2(강화)
169100004 ,902(강화)
169100003 ,903(강화)
169100002 ,904(강화)
169000021 ,905-1(강화)
169000022 ,905-2(강화)
169000023 ,906-1(강화)
169000024 ,906-2(강화)
165000160 ,9100
168000042 ,92
165000161 ,9200
165000245 ,9201
161000006 ,93
165000162 ,9300
165000163 ,9500
165000164 ,9501
168000052 ,9701
166000021 ,9731
165000303 ,9802
168000053 ,9901
165000215 ,M6405
168000005 ,M6439
161000004 ,M6450
168000049 ,M6457
164000007 ,M6458
161000029 ,M6462
165000409 ,M6628
165000381 ,M6724
161000015 ,M6751
165000522 ,N50
166000020 ,N80
166000019 ,N81
168000050 ,N90
165000325 ,계양1
165000326 ,계양2
166000010 ,급행91
167000001 ,급행95
161000011 ,급행97
161000008 ,급행99
168100001 ,대곡5
161100001 ,무의1
170000004 ,방개골 순환행
170000005 ,선재리행
165000514 ,순환41
165000515 ,순환42
165000516 ,순환43
164000004 ,순환46
163000001 ,순환51
168000030 ,순환52
165000518 ,순환54
165000519 ,순환56
166000009 ,순환83
170000003 ,십리포행
170100001 ,영흥도
170000009 ,영흥직행
168000035 ,인천e음11
168000012 ,인천e음12
168000013 ,인천e음13
168000014 ,인천e음15
168000020 ,인천e음16
168000036 ,인천e음21
168000037 ,인천e음22
168000040 ,인천e음31
168000016 ,인천e음45
168000017 ,인천e음53
166000006 ,인천e음55
166000007 ,인천e음61
166000008 ,인천e음71
168000027 ,인천e음84
166000015 ,인천e음85
168000039 ,인천e음86
168000019 ,인천e음88
166000012 ,인천e음89
165000415 ,중구1
165000418 ,중구3
165000419 ,중구4
168000043 ,중구5
161000016 ,중구5-1
161000017 ,중구5-2
161000023 ,중구5-4
161000024 ,중구5-5
168100002 ,중구6
168000002 ,중구6-1
161000025 ,중구7
161000026 ,중구8
