시발역,종착역,열차번호,검단호수공원,신검단중앙,아라,계양,귤현,박촌,임학,계산,경인교대입구,작전,갈산,부평구청,부평시장,부평,동수,부평삼거리,간석오거리,인천시청,예술회관,인천터미널,문학경기장,선학,신연수,원인재,동춘,동막,캠퍼스타운,테크노파크,지식정보단지,인천대입구,센트럴파크,국제업무지구,송도달빛축제공원
예술회관,송도달빛축제공원,1001,,,,,,,,,,,,,,,,,,,05:32:00,05:33:30,05:35:00,05:36:30,05:38:30,05:40:00,05:42:00,05:44:00,05:46:30,05:48:00,05:50:30,05:52:00,05:53:30,05:55:30,05:57:00
작전,송도달빛축제공원,1003,,,,,,,,,,05:30:00,05:32:00,05:34:00,05:36:00,05:37:30,05:39:30,05:41:30,05:43:30,05:46:30,05:48:30,05:50:00,05:51:30,05:53:00,05:55:00,05:56:30,05:58:30,06:00:30,06:03:00,06:04:30,06:07:00,06:08:30,06:10:00,06:12:00,06:13:30
박촌,송도달빛축제공원,1005,,,,,,05:30:00,05:32:00,05:34:00,05:36:00,05:37:30,05:39:30,05:41:30,05:43:30,05:45:00,05:47:00,05:49:00,05:51:00,05:54:00,05:56:00,05:57:30,05:59:00,06:00:30,06:02:30,06:04:00,06:06:00,06:08:00,06:10:30,06:12:00,06:14:30,06:16:00,06:17:30,06:19:30,06:21:00
박촌,송도달빛축제공원,1007,,,,,,05:37:00,05:39:00,05:41:00,05:43:00,05:44:30,05:46:30,05:48:30,05:50:30,05:52:00,05:54:00,05:56:00,05:58:00,06:01:00,06:03:00,06:04:30,06:06:00,06:07:30,06:09:30,06:11:00,06:13:00,06:15:00,06:17:30,06:19:00,06:21:30,06:23:00,06:24:30,06:26:30,06:28:00
검단호수공원,송도달빛축제공원,1009,05:30:00,05:32:00,05:34:30,05:39:00,05:41:00,05:44:00,05:46:00,05:48:00,05:50:00,05:51:30,05:53:30,05:55:30,05:57:30,05:59:00,06:01:00,06:03:00,06:05:00,06:08:00,06:10:00,06:11:30,06:13:00,06:14:30,06:16:30,06:18:00,06:20:00,06:22:00,06:24:30,06:26:00,06:28:30,06:30:00,06:31:30,06:33:30,06:35:00
박촌,송도달빛축제공원,1011,,,,,,05:50:00,05:52:00,05:54:00,05:56:00,05:57:30,05:59:30,06:01:30,06:03:30,06:05:00,06:07:00,06:09:00,06:11:00,06:14:00,06:16:00,06:17:30,06:19:00,06:20:30,06:22:30,06:24:00,06:26:00,06:28:00,06:30:30,06:32:00,06:34:30,06:36:00,06:37:30,06:39:30,06:41:00
검단호수공원,송도달빛축제공원,1013,05:42:00,05:44:00,05:46:30,05:51:00,05:53:00,05:56:00,05:58:00,06:00:00,06:02:00,06:03:30,06:05:30,06:07:30,06:09:30,06:11:00,06:13:00,06:15:00,06:17:00,06:20:00,06:22:00,06:23:30,06:25:00,06:26:30,06:28:30,06:30:00,06:32:00,06:34:00,06:36:30,06:38:00,06:40:30,06:42:00,06:43:30,06:45:30,06:47:00
박촌,송도달빛축제공원,1015,,,,,,06:02:00,06:04:00,06:06:00,06:08:00,06:09:30,06:11:30,06:13:30,06:15:30,06:17:00,06:19:00,06:21:00,06:23:00,06:26:00,06:28:00,06:29:30,06:31:00,06:32:30,06:34:30,06:36:00,06:38:00,06:40:00,06:42:30,06:44:00,06:46:30,06:48:00,06:49:30,06:51:30,06:53:00
검단호수공원,송도달빛축제공원,1017,05:54:00,05:56:00,05:58:30,06:03:00,06:05:00,06:08:00,06:10:00,06:12:00,06:14:00,06:15:30,06:17:30,06:19:30,06:21:30,06:23:00,06:25:00,06:27:00,06:29:00,06:32:00,06:34:00,06:35:30,06:37:00,06:38:30,06:40:30,06:42:00,06:44:00,06:46:00,06:48:30,06:50:00,06:52:30,06:54:00,06:55:30,06:57:30,06:59:00
박촌,송도달빛축제공원,1019,,,,,,06:13:00,06:15:00,06:17:00,06:19:00,06:20:30,06:22:30,06:24:30,06:26:30,06:28:00,06:30:00,06:32:00,06:34:00,06:37:00,06:39:00,06:40:30,06:42:00,06:43:30,06:45:30,06:47:00,06:49:00,06:51:00,06:53:30,06:55:00,06:57:30,06:59:00,07:00:30,07:02:30,07:04:00
검단호수공원,송도달빛축제공원,1021,06:04:00,06:06:00,06:08:30,06:13:00,06:15:00,06:18:00,06:20:00,06:22:00,06:24:00,06:25:30,06:27:30,06:29:30,06:31:30,06:33:00,06:35:00,06:37:00,06:39:00,06:42:00,06:44:00,06:45:30,06:47:00,06:48:30,06:50:30,06:52:00,06:54:00,06:56:00,06:58:30,07:00:00,07:02:30,07:04:00,07:05:30,07:07:30,07:09:00
박촌,송도달빛축제공원,1023,,,,,,06:23:00,06:25:00,06:27:00,06:29:00,06:30:30,06:32:30,06:34:30,06:36:30,06:38:00,06:40:00,06:42:00,06:44:00,06:47:00,06:49:00,06:50:30,06:52:00,06:53:30,06:55:30,06:57:00,06:59:00,07:01:00,07:03:30,07:05:00,07:07:30,07:09:00,07:10:30,07:12:30,07:14:00
검단호수공원,송도달빛축제공원,1025,06:14:00,06:16:00,06:18:30,06:23:00,06:25:00,06:28:00,06:30:00,06:32:00,06:34:00,06:35:30,06:37:30,06:39:30,06:41:30,06:43:00,06:45:00,06:47:00,06:49:00,06:52:00,06:54:00,06:55:30,06:57:00,06:58:30,07:00:30,07:02:00,07:04:00,07:06:00,07:08:30,07:10:00,07:12:30,07:14:00,07:15:30,07:17:30,07:19:00
